Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
9;1171849;2НДФЛ;Покупка недвижимости/ строительство;1;0.25;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;13;33;Торговля;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
9;1171869;2НДФЛ;Покупка недвижимости/ строительство;0;0.46;мужской;1;0;высшее;рабочий;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171889;Форма банка (без печати работодателя);Покупка автомобиля;1;0.27;мужской;0;0;высшее;рабочий;>250;0;46;30;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;1;20;1;0;1;24;24;0;0;0;0;0;0;0
9;1171909;2НДФЛ;Покупка недвижимости/ строительство;0;0.55;женский;1;0;высшее;менеджер по продажам;>250;1;22;30;Торговля;ЗАО;женат / замужем;3;3;1;1;0;0;0;0;0;0;0;0;4;27;4;0;1;6;76;0;0;0;0;0;0;0
9;1171929;Поступление зарплаты на счет;Ремонт;0;0.33;мужской;0;0;высшее;специалист;>250;0;49;28;Торговля;ООО;холост / не замужем;2;2;2;2;1;0;0;0;0;0;0;0;1;31;1;0;1;31;31;0;0;0;0;0;0;0
9;1171949;2НДФЛ;Покупка автомобиля;0;0.21;мужской;0;0;среднее-специальное;специалист;< 50;0;14;25;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171969;Поступление зарплаты на счет;Ремонт;1;0.36;мужской;0;0;высшее;специалист;>250;0;64;29;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171989;2НДФЛ;Покупка недвижимости/ строительство;0;0.31;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;43;35;Другое;ОАО;женат / замужем;0;0;0;0;0;0;0;0;0;0;1;1;0;34;1;0;0;33;33;0;0;0;0;0;0;0
9;1172009;2НДФЛ;Покупка автомобиля;0;0.37;мужской;2;0;высшее;рабочий;>250;0;13;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172029;Поступление зарплаты на счет;Ремонт;0;0.38;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172049;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.47;женский;0;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0;35;45;Сельское и лесное хозяйство;ООО;холост / не замужем;2;1;1;0;0;0.1168831169;0;1;0;0;0.3076923077;4;9;136;13;1;0;2;105;1;0;0;0;0;0;0
9;1172069;2НДФЛ;Ремонт;0;0.27;мужской;0;0;высшее;менеджер среднего звена;< 50;0;8;31;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172089;Форма банка (без печати работодателя);Ремонт;1;0.32;мужской;2;0;незаконченное высшее;вспомогательный персонал;< 50;0;12;27;Торговля;ООО;женат / замужем;1;1;1;1;1;0.1071428571;1;0;0;0;0.4285714286;3;4;75;7;2;0;14;69;1;1;1;1;1;1;1
9;1172109;Форма банка (без печати работодателя);Ремонт;1;0.15;женский;1;0;высшее;специалист;>250;0;97;43;Торговля;ООО;женат / замужем;6;6;2;1;1;;;;;;;;;;;;;;;;;;;;;
9;1172129;Форма банка (без печати работодателя);Ремонт;0;0.35;мужской;0;0;высшее;рабочий;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172149;2НДФЛ;Ремонт;1;0.25;мужской;0;0;Высшее/Второе высшее/Ученая степень;рабочий;>250;0;111;31;Другое;ООО;женат / замужем;2;1;1;1;1;0.0526315789;0;0;0;0;0.5;1;1;36;2;1;0;36;104;1;1;0;0;0;0;0
9;1172169;2НДФЛ;Ремонт;0;0.48;женский;0;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172189;2НДФЛ;Покупка недвижимости/ строительство;1;0.51;женский;2;0;высшее;вспомогательный персонал;>250;0;122;34;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172209;2НДФЛ;Покупка недвижимости/ строительство;1;0.59;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;131;31;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172229;Свободная форма с печатью работодателя;Ремонт;1;0.31;мужской;0;0;высшее;специалист;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1172249;2НДФЛ;Покупка автомобиля;1;0.51;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;< 50;0;31;32;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0;0;2;52;2;0;2;41;41;0;0;0;0;0;0;0
9;1172269;2НДФЛ;Покупка автомобиля;0;0.25;мужской;0;0;высшее;специалист;>250;0;61;28;Информационные технологии;ЗАО;холост / не замужем;1;1;1;1;1;0.0357142857;1;0;0;0;0;0;2;27;2;0;0;21;36;1;0;0;0;0;0;0
9;1172289;2НДФЛ;Покупка недвижимости/ строительство;0;0.54;женский;0;0;высшее;специалист;>250;1;54;48;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
